Time,Log,Cat
1505,T371 C40-1 BPD hold for a welfare check.,1
1507,"T373 no ATO doors at M10-2, 311.",5
1511,"T109 no ATO doors at M10-2, 311.",5
1513,"T113 no ATO doors at M90-1, 311.",5
1514,"T385 no ATO doors at M20-1, 311.",5
1514,"T103 no ATO doors at S20-1, 311.",5
1517,"T-4 is clear of work orders for the W15XL, all protections removed.",13
1519,"T109 A10-1 road manual into/out of M10 for a BPD report of an extremely erratic woman on the platform, then A10A-B route failed, total delay 5 minutes.",4
1522,"T225 no ATO doors at S20-2, 311.",5
1523,T511 A10-1 BPD hold for a welfare check.,1
1527,"T105 no ATO doors at S20-1, 311.",5
1530,"T441 BOIP approaching R50-2, TO completing Aux cycle. Tech en route",7
1531,"T441 approaching R50-2 stopped with a BOIP, trying an AUX cycle to clear it.",7
1532,"T227 no ATO doors at S20-2, 311.",5
1534,"T441 reports they are moving ATO after the AUX cycle, but now have a prop. overload. Tango-1 updated. 3+ minute delay.",7
1536,"T449 M20-2 door open, instructed to do a couple more door cycles to try and clear it.",7
1536,"T441 9.3 R2 track stopped again with the BOIP, doing another AUX cycle per Tango-1.",7
1538,"T449 moving ATO, door open self cleared, 3 minute delay.",11
1538,"T517 no ATO doors at M90-1, 311.",5
1540,"T441 ATO once again, now 6 late.",11
1543,"T441 7.6 R2 track stopped again with the BOIP, trying road manual per Tango-1. Tech approaching on T457.",7
1549,T441 departing R30-2 11 late now after road manual to the station. Tech boarded up and as soon as the train departed the BOIP came back. Tech is troubleshooting now.,7
1552,"T451 no ATO doors at M20-2, 311.",5
1554,"T229 no ATO doors at S20-2, 311.",5
1556,Tech on board T441 cut and dumped C342 for the ongoing BOIP. 13 minute total delay to the train. Following 2 trains delayed 3-6 minutes each.,7
1559,"T515 no ATO doors at A20-1, 311.",5
1600,,0
1600,,0
1600,,0
1600,"T325 no ATO doors at M90-2, 311.",5
1603,"T519 no ATO doors at M70-2, 311.",5
1605,T107 A50-2 BPD hold to remove someone from the train.,4
1607,T449 R50-1 BPD hold for a disturbance on board.,1
1610,"T361 no ATO doors at Y10-1, 311.",5
1611,"T107 released ATO, 1 minute delay.",11
1612,"T449 released ATO, 4 minute hold, now 5 late.",11
1612,"T231 no ATO doors at S20-1, 311.",5
1613,T103 M40-1 BPD hold for a welfare check.,1
1614,"T519 no ATO doors at M16-2, 311.",5
1618,"T323 K10-3 BPD hold for a possible medical emergency. BPD not at the station, but are rolling medical. TO and agent heading back to check.",3
1619,"T103 released ATO, 6 minute delay. They removed someone from the train in handcuffs. Following trains all delayed into SF.",1
1620,"K10 agent reports the individual is off the train and on the platform, but is very aggressive and charging at her. We have instructed her to return to the booth and the TO to the cab. The patron then started a fight with patrons on the platform. BPD updated and T323 instructed to close doors but remain holding.",4
1625,"T241 no ATO doors at K30-2, 311.",5
1626,"T233 no ATO doors at S20-2, 311.",5
1628,"T113 no ATO doors at S20-1, 311.",5
1628,"T323 released ATO, BOD have arrived and placed the individual into custody. 13 minute delay.",4
1639,T385 K10-3 BPD hold for a welfare check.,1
1639,"T505 no ATO doors at M90-2, 311.",5
1642,"T115 no ATO doors at S20-1, 311.",5
1643,"T385 released ATO, 3 minute delay.",11
1647,"T443 W10-1 TO re-positioned into the station for some reason, now says the console will not reset. Worked with Tango-1 but no change. TO changing ends and will be the new 441 in service to R60. 15 minute delay to W40 passengers. T369 delayed 9 minutes, T445 delayed 5 minutes.",7
1652,"T459 no ATO doors at M20-2, 311.",5
1656,"T443 no ATO doors at W40-3, 311.",5
1656,"T505 no ATO doors at M20-2, 311.",5
1659,"T117 no ATO doors at S20-1, 311.",5
1700,T333 hole M90 to C75 due to car shortage. This run has been removed from the Trip Planner.,11
1700,"T505/905 OOS at A50 to OHY, per Tango-1 there are large flats on the trailing 2 cars. Supervisor at A50 will assist with the sweep.",5
1701,"T325 no ATO doors at C50-2, 311.",5
1702,"T107 no ATO doors at M90-1, 311.",5
1703,"T331 M70-2 door open, no suspects, sweeping OOS. Train has been at the station over 4 minutes, TO just called.",0
1705,TPA's.,11
1706,"T449 no ATO doors at M20-1, 311.",5
1708,"T239 no ATO doors at S20-2, 311.",5
1709,"T509 no ATO doors at M90-1, 311.",5
1710,"T331/931 moving ATO, running through to a tech at M50. All following trains delayed 13 minutes departing SF. Patron interference .",4
1712,"T119 no ATO doors at S20-1, 311.",5
1715,"T327 no ATO doors at C50-2, 311.",5
1716,"T109 no ATO doors at M90-1, 311.",5
1716,"T509 no ATO doors at M80-2, 311.",5
1717,"T109 M90-1 unable to do the rule 311 readback due to a bad radio, eventually switched to portable, now 5 late. Trains in the area delayed into and out of M90 due to the congestion.",7
1719,"T451 M16-1 door open, supervisor closed the door from the outside, 2 minute delay. Patron interference for blocking the doors.",4
1721,T337 hole M90 to C85 due to car shortage. This run has been removed from the Trip Planner.,11
1721,"T363 C10-1 report of someone having a seizure on C1595, agent going up.",3
1725,"C10 agent reports the woman says she fell and is fine, refused medical assistance, T363 released ATO, 3 minute delay, now 6 late.",3
1725,"T331 M10-2 back in service, door open self cleared and the tech has found nothing unusual.",5
1727,"T329 no ATO doors at C50-2, 311.",5
1729,"T377 no ATO doors at M16-1, 311.",5
1729,"T113 no ATO doors at M40-1, 311.",5
1730,T367 M30-2 BPD hold for a disturbance on board.,1
1730,"T505 had C1519 with the communications circuit breaker tripped, no announcements could be heard on multiple cars. Tech and Supervisor are keying all the patrons off the train at A60 so they can get back to A50. T119 holding A60-2 for the passengers.",6
1731,"T377 no ATO doors at M20-1, 311.",5
1738,"T367 released ATO, 2 minute hold, now 13 late.",11
1738,"T905 moving ATO to OHY, all patrons are now on board T119 to A50, supervisor stayed with them to make sure they all got on board the train.",5
1738,"T449 W20-1 10 mph track inspection into the station, the previous train (373) reported feeling something strange as they entered the station. T449 reports nothing unusual at all and its good for ATO. 5 minute delay, now 10 late total.",6
1741,"T451 no ATO doors at M90-3, 311.",5
1744,"T113 no ATO doors at M90-1, 311.",5
1810,New T505 dispatching from OHY stopped in A75XL with a BOIP. Dropping the route while the TO troubleshoots. T505 now a hole all the way from L30 to M90. Will try to turn back short on the M- line into the proper slot.,6
1823,"T441 hold ORY to W40, C1270 would not reset causing the train to turn back at W10 earlier, no operators in the yard made re-configuring the train time consuming.",6
1825,"T449 M30-2 door open, TO trying multiple cycles to clear before sweeping.",5
1825,"T505 re-dispatched from OHY this time no problem, same cars. The train will run OOS to the M- line and be turned back short somewhere.",11
1829,"T449 moving ATO, the 101 operator locked out doors 1+3 on C1633. T449 was delayed 4 minutes by the 329 turn at M60 and 5 minutes by the door open, now 11 minutes late in total. All following trains further delayed down the M2 track leaving SF. T101 delayed 3 minutes.",11
1829,"T385 no ATO doors at M20-1, 311.",5
1829,"T515 no ATO doors at A20-1, 311.",5
1833,T365 C80-2 late in/out 15 minutes late. Train was late due to the 331 door open at M70. No spare because C80 sent the 323 to the yard earlier instead of keeping it to protect the commute.,11
1837,"T109 no ATO doors at S20-1, 311.",5
1839,"T103 no ATO doors at M16-1, 311.",5
1840,"T229 no ATO doors at S20-2, 311.",5
1842,"T367 C80-2 8 minutes late in/out, delayed on the M-line. No spare because C80 sent the 321 to the yard instead of using it for the 367.",11
1843,"T103 no ATO doors at M20-1, 311.",5
1844,"T377 no ATO doors at M16-2, 311.",5
1846,"T103 no ATO doors at M30-1, 311.",5
1847,"T103 M30-1 multiple rule 311's, quick AUX cycle to clear the SET in the trailing car, good ATO doors now.",7
1901,"T363 no ATO doors at M20-1, 311.",5
1918,T455 K10-1 BPD hold for a fight on board the train.,1
1918,"T235 no ATO doors at S20-2, 311.",5
1919,"T459 no ATO doors at M90-2, 311.",5
1924,"T235 no ATO doors at S20-2, 311.",5
1925,"T455 released ATO, 8 minute delay.",11
1925,"T455 released ATO, 8 minute delay.",11
1925,"T455 released ATO, 8 minute delay.",11
1933,"T767 no ATO doors at M16-1, 311.",5
